,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate ®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.VOLATILITY260D/100,TR.RETURNONAVGTOTEQTYPCTNETINCOMEBEFOREEXTRAITEMS/100,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio,PERATIO
0,LUPN.NS,27.3790773976068,16.9223675614157,2.00844504846032,76.37004372079,2.48489556063122,80.3163261588305,-35.3482469893231,0.279580724056982,-0.11773893231,-0.066445293877,0.570744,-0.093142047657246,0.029935976079,0.022210745063,12.7783137179,0.0
1,CIPL.NS,22.1236065161198,17.3210094065922,3.07685998790751,24.1151313411012,3.3208681060102,21.8539074835834,32.7316366019046,0.21490640460395,0.128509796973,0.097964500036,0.5606947,0.115641716758549,0.027565902765,0.025910605435,39.887463752,27.15
2,REDY.NS,19.8845033635285,14.9528451784785,3.16768538178155,18.6084116340462,3.69411577572059,27.318287333366,156.511683662179,0.209681580362492,0.118201231342,0.077287332095,0.6288176,0.101298665131909,0.0299077679,0.025428266709,36.7627471384,20.81
3,SUN.NS,25.913110632625,20.5337768419858,5.40382210673428,28.0124735433001,4.4406591314969,26.1332685833576,43.9086566718137,0.197212847233444,0.069283189026,0.049551236446,0.6971206,0.084666231529636,0.010033279721,0.00920059263,105.1441211959,56.78
4,TORP.NS,28.6733116927216,20.8668051308164,6.01295099282353,40.7840275935261,8.52990806107448,28.8543701349426,56.3318363340303,0.210337265035844,0.131835808287,0.057199233546,0.7017562,0.091346538098081,0.362852031346,0.215516931734,6.9953742142,62.7
5,ARBN.NS,11.4004356324467,8.49927728776269,1.16642296135548,15.1752046353352,1.18910246215348,6.05547308467595,14.8455317323163,0.319520463915243,0.113884597314,0.078113825735,0.5287457,0.112901073480025,0.023104673751,0.020584218862,89.5838762215,14.95
6,IPCA.BO,25.088691863136,20.5711451562633,3.30742873890156,38.8336765566419,3.55813185987898,23.9012756994397,73.4831746731202,0.228973262017592,0.173457515583,0.129827930098,0.5915565,0.151648687173981,0.074049931081,0.063781835633,158.1988041854,38.0
7,APLH.NS,42.6155936462919,30.9301388840621,4.09343264311544,73.8248965040335,10.3429790867137,35.8579936284451,60.2899806238516,0.278355636314895,0.206462212486,0.089393756726,0.4834818,0.071992688881917,0.668769895609,0.377154273244,4.8093220339,82.05
8,ALKE.BO,25.3044851717504,21.6005516495794,3.55958038177115,32.1659274708674,4.44178540643416,36.5479196144085,115.999182037424,0.200289055066789,0.205514582604,0.131334254322,0.5990461,0.154748034406006,0.008781069473,0.006586762908,57.3852379411,38.63
9,BION.NS,36.4842322919794,21.6307586522326,2.77750758175623,40.0454890362496,2.57318636462783,20.3491817747893,-34.5558744548584,0.286100453598305,0.080750214827,0.039654335073,0.6083211,0.079227761485826,0.500444707975,0.288712833354,17.5399408284,61.95
10,DIVI.NS,32.3723369364979,29.7759588101154,8.59170426245144,40.2182943061488,6.17660058067485,39.2044521049797,112.259340883638,0.300692158914282,0.281641970452,0.245184228768,0.6105696,0.33041363508013,0.00024470975,0.000244632782,9923.5555555556,31.23
11,GLEN.BO,8.35565186082102,6.15622417163175,1.29113495235781,14.0675101323889,1.36971000320888,11.8272949575881,58.0978544100673,0.303763015842819,0.116611358336,0.060798060628,0.5953801,0.076531363148495,0.305034189179,0.206843942911,7.4003313975,14.25
13,GLAD.NS,36.0605089894924,33.4270911937093,4.43855834290612,21.622934888241,2.72987100559218,26.4150237009481,77.675428805172,0.370512493463576,0.185541185142,0.169112227937,0.5115952,0.275333878094161,0.000626185712,0.000625771044,411.532627866,20.93
14,NATP.BO,114.368587894748,52.4749991517078,3.89250120127806,13.7615205277744,2.24976662480057,221.168986887634,-38.2923216306749,0.267759091881668,0.040547631541,0.03433996566,0.6913307,0.087412587412587,0.001876348626,0.001703722634,9.1590909091,26.24
15,DLPA.NS,47.2862575119574,38.2005140559721,7.43571234228433,60.0463198513508,9.83762679055343,33.9272839681392,-103.776185983727,0.377051104498202,0.250501973023,0.174510717266,0.7487961,0.165196741604899,0.202679306163,0.147225907012,15.1651541439,61.21
16,JBCH.BO,25.6479834919486,22.242671916603,5.12644024415885,35.2408020147819,6.59680467561493,89.8848782218775,-22.9532349114589,0.250587369782931,0.195422044431,0.159338567229,0.6143757,0.158959837290292,0.009660923949,0.009400814355,165.693851901,36.89
17,AJPH.BO,18.6721075971546,16.1838753806036,3.99305530994965,23.9675391951887,4.31225482034093,27.5563460543734,47.359366172451,0.256233835092863,0.227697576825,0.181940951968,0.7345936,0.213317010826132,0.005688745658,0.005645457945,79.6411764706,27.31
18,METP.NS,37.6944566551116,30.7845248825342,5.59525129409917,42.7294547416242,6.68098763233043,25.2399063590269,35.3270925595456,0.372246388522846,0.268938149227,0.16939700585,0.7586143,0.174367681155645,0.272288647072,0.190492881471,14.4854972589,41.12
19,ERIS.BO,21.918881017352,19.019790452322,5.03914943866293,19.7178593377791,3.83831815749616,20.5679523718356,44.2746822493708,0.220302579565473,0.233081338823,0.197612370733,0.8022892,0.301484807834642,0.042128353293,0.040159470974,102.3888084901,19.62
