,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate ®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio
1,SHEL.L,4.09088848565332,3.11333274434549,0.632153577631316,6.17280449893693,1.04684955133067,2.85350427477541,445.394028741175,0.101189162653,0.2551913,0.110955800206654,0.392677138897,0.270608411242,22.3234972678
2,TTEF.PA,3.06114960048445,2.48955470148223,0.638088417590585,5.71266748853357,1.30892915353115,3.09770367775012,6.44616731139994,0.070461158303,0.3503893,0.077953742736698,0.371612187176,0.241960487208,29.6348747592
3,BP.L,3.389351756534,2.56646813917629,0.658725429935307,5.87441026981608,1.67607533027783,2.73544046181334,395.798314994117,-0.004716784384,0.2879052,-0.010302744084311,0.743016594378,0.362448820433,22.2339276067
4,EQNR.OL,1.42155372325046,1.27146080997314,0.564326264241144,5.91132304311283,1.65135129292649,2.58087849856805,44.9694114298188,0.188391596016,0.6388956,0.192920995409519,0.491775950211,0.308161938809,80.852688172
5,REP.MC,2.60887966108203,2.08737128339885,0.314291754195344,4.17633342362182,0.744283759020355,2.49468373490871,6.13381957185832,0.074773270922,0.2489854,0.056564608199273,0.400490234838,0.257551103427,104.6822429907
6,GALP.LS,5.45557260652393,3.45432587685805,0.418524909820699,8.33725221383538,2.08458584341806,6.73919580905532,NaN,0.111043161994,0.1602666,0.054268988623394,1.029079548186,0.412484346402,19.056
7,XOM.N,6.94572535438617,5.40409882857991,1.16769853586024,11.0895823052093,2.29497264789825,5.8130423556139,10.6124208879115,0.162564443001,0.3188236,0.139813130996426,0.208588611067,0.166880642502,89.5513784461
8,CVX.N,8.34021808408343,6.02158062387632,1.34691573802076,11.4343540809347,1.96184564504744,6.27178212610459,11.8728582145857,0.143221436558,0.3830907,0.150455843235745,0.134195954345,0.116433617858,82.1337209302
9,OMVV.VI,2.2860601127655,1.84564485815225,0.377998442614662,4.24264815134588,0.721776635665744,1.7827462545785,3.48407287500793,0.093897139539,0.2962856,0.059472214196282,0.454882506527,0.235993714781,26.4580335731
10,NESTE.HE,13.4932977762634,10.7937893189801,1.41184340315634,14.8346732322804,4.19298466872764,29.1940337217544,-29.6708931485904,0.138362478964,0.1352939,0.073443031081029,0.236000961307,0.179491866204,41.0566037736
11,ADNOCDIST.AD,19.8319403012086,16.7740905573304,1.75326274644117,18.6765560073276,15.1673928630522,11.5919354738517,59.8707708032308,0.184479317284,0.1765087,0.085593808314213,1.935232184482,0.650955963677,10.8563824175
12,ITH.L,2.82156647945307,1.78937655439236,1.10528944956914,1.24365266631851,0.755204592133784,1.07542867226942,112.480188871858,0.179530533951,0.4795715,0.396974849161934,0.500901739674,0.330008544096,8.0842476876
15,600028.SS,8.83248694241907,4.24669926213896,0.304128744570749,9.28971684546341,0.85773617480521,5.79533505036184,-5.53074063839882,0.039478933113,0.0834476,0.019981507868197,0.349256661027,0.210302337204,6.2398825482
16,601857.SS,4.18569470882395,2.1923258469241,0.447841475109946,8.44230851503786,0.791109210944234,2.75158008950082,13.0489970138735,0.063357033733,0.1576152,0.046115251235889,0.248747057483,0.170116997318,14.0603136309
