,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate ®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.VOLATILITY260D/100,TR.RETURNONAVGTOTEQTYPCTNETINCOMEBEFOREEXTRAITEMS/100,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio,PERATIO
1,CSCO.OQ,12.7013361636259,11.1459569713216,3.77974763259109,13.9153234930057,5.16145356124739,13.3492838640922,33.5841839089519,0.286347260392128,0.291481591156,0.123363568478,0.6254825,0.229105650057218,0.211600834737,0.17075150138,38.9972222222,18.8408
2,QCOM.OQ,9.8099027092764,8.75573599469336,3.51251687694958,13.6428624132617,7.5896874003329,14.0370732188672,40.0492711208856,0.428362553557856,0.928798769803,0.287765639196,0.5783937,0.292669683257919,0.751512796314,0.404149873115,30.206122449,12.1831
3,INTC.OQ,53.7078809931507,8.16222822197645,2.39051907888477,58.4813117571244,1.33259507212284,8.75758374910907,-8.62677148718583,0.396145129660058,0.081437296127,0.045744902413,0.4260792,0.127097408570432,0.371552803605,0.259287036336,4.7096774194,16.5095
4,MSI.N,26.8209534182884,21.5098735334788,5.7749495649155,25.5204565907852,413.161853467865,26.2848823014318,47.4308071359495,0.277469716814608,35.868421052632,0.109346878375,0.4641133,0.149582967515364,51.836206896552,0.978519121237,7.425,35.5179
5,005930.KS,6.37103830714834,3.35038556694112,1.0954822634223,37.4404914832037,1.25940986356283,7.05249323887935,-334.663228150565,0.234131863619415,0.17065164926,0.127202680331,0.3712043,0.181086496120058,0.011868277725,0.011221466702,56.8489872414,10.94
6,NOKIA.HE,7.27496562241509,5.20263658454573,0.878432808977078,10.3783125330391,1.18258899024356,17.2541653354329,49.2364909720867,0.280323765262271,0.217145220066,0.101455561982,0.4103408,0.170607362209466,0.239394365537,0.189534236407,12.8918918919,5.93
7,6758.T,15.1909455554766,8.67636858566493,1.60289399955523,16.9813912856006,2.23642047387391,44.0105676892806,20.8803212174806,0.299131729597185,0.127622404178,0.030640601178,0.2723044,0.088915672438266,0.168472375352,0.114102030201,76.1915068493,17.0
9,2354.TW,1.58350561143173,1.07144632221345,0.115052062214202,14.9825783972125,0.76493898048709,8.71793550720546,13.6986145037744,0.240993932010003,0.039778023976,0.025794987884,0.0760982,0.047158939941598,0.004686489723,0.004288200081,13.6153298993,18.53
11,HPE.N,11.9563852716659,5.64128601694915,1.05954175631952,7.70324377647537,1.03249262905137,5.375831587875,24.7758352955051,0.325657796867454,0.043579766537,0.01511905384,0.3335907,0.030460415496912,0.395338300443,0.24257119911,10.5545023697,24.4357
12,NTAP.OQ,12.3049005835411,10.5961312827487,1.99734031842594,11.8108634046363,12.399183303038,10.6452188599766,27.1273654915707,0.30785055842961,1.230466185161,0.096667698339,0.6679329,0.148306426084204,2.847255369928,0.686816350029,16.4794520548,10.8024
